Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,1971,2015,5,137,59,78,.431,-18.19,-5.02,0,0,0,0,0,0
2,Air Force Falcons,1958,2015,57,1542,677,865,.439,-1.93,2.19,0,1,0,4,0,0
3,Akron Zips,1902,2015,64,1424,833,591,.585,-0.61,-1.58,0,8,4,4,0,0
4,Alabama A&M Bulldogs,2000,2015,16,458,203,255,.443,-15.88,-11.87,0,1,1,1,0,0
5,Alabama Crimson Tide,1913,2015,102,2585,1601,983,.620,11.53,7.02,15,10,7,20,0,0
6,Alabama State Hornets,1983,2015,33,971,490,481,.505,-12.39,-10.23,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,1980,2015,36,1149,714,435,.621,7.04,3.21,2,6,4,14,0,0
8,Albany (NY) Great Danes,2000,2015,16,492,232,260,.472,-7.77,-6.12,0,1,3,4,0,0
9,Alcorn State Braves,1978,2015,38,1120,483,637,.431,-13.97,-8.88,0,10,6,6,0,0
10,Allegheny Gators,1896,1916,21,234,191,41,.823,,,0,0,0,,,
11,Alliant International Gulls,1982,1991,10,279,69,210,.247,-18.06,-5.34,0,0,0,0,0,0
12,American Eagles,1967,2015,49,1382,698,684,.505,-4.69,-3.39,0,7,3,3,0,0
13,Amherst Lord Jeffs,1901,1902,2,12,12,0,1.000,,,0,0,0,,,
14,Appalachian State Mountaineers,1974,2015,42,1226,613,613,.500,-5.62,-3.58,0,10,2,2,0,0
15,Arizona State Sun Devils,1912,2015,100,2406,1274,1132,.530,7.95,6.70,7,8,0,14,0,0
16,Arizona Wildcats,1905,2015,108,2577,1680,896,.652,16.19,8.24,23,21,4,31,4,1
17,Arkansas Razorbacks,1924,2015,92,2501,1602,899,.641,12.62,5.73,15,26,7,29,6,1
18,Arkansas State Red Wolves,1971,2015,45,1293,672,621,.520,-2.19,-2.15,0,7,1,1,0,0
19,Arkansas-Little Rock Trojans,1979,2015,37,1099,614,485,.559,-2.94,-3.53,0,11,4,4,0,0
20,Arkansas-Pine Bluff Golden Lions,1999,2015,17,505,153,352,.303,-19.80,-8.68,0,0,1,1,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
21,Armstrong Pirates,1987,1987,1,28,6,22,.214,-21.60,-4.78,0,0,0,0,0,0
22,Army Black Knights,1903,2015,113,2359,1177,1182,.499,-13.40,-5.86,0,0,0,0,0,0
23,Auburn Tigers,1906,2015,109,2427,1276,1150,.526,7.57,6.59,5,3,1,8,0,0
24,Augusta State Jaguars,1985,1991,7,197,64,133,.325,-17.30,-8.00,0,0,0,0,0,0
25,Augustana (IL) Vikings,1902,1917,12,116,81,35,.698,,,0,0,0,,,
26,Austin Peay Governors,1964,2015,52,1474,733,741,.497,-5.17,-3.29,1,8,4,6,0,0
27,Baker University Wildcats,1903,1908,6,90,62,28,.689,,,0,0,0,,,
28,Baldwin-Wallace Yellow Jackets,1948,1953,6,139,82,57,.590,,,0,0,0,0,0,0
29,Ball State Cardinals,1972,2015,44,1278,673,605,.527,0.15,-0.29,1,9,7,7,0,0
30,Baltimore Super Bees,1979,1983,5,133,46,87,.346,-11.98,-6.71,0,0,0,0,0,0
31,Baylor Bears,1907,2015,109,2584,1262,1322,.488,3.91,4.37,3,5,0,8,2,0
32,Belmont Bruins,2000,2015,16,506,321,185,.634,0.05,-3.62,0,8,6,6,0,0
33,Beloit Buccaneers,1911,1924,8,95,66,28,.702,,,0,0,0,,,
34,Bethune-Cookman Wildcats,1981,2015,35,1028,361,667,.351,-17.08,-9.92,0,1,0,0,0,0
35,Binghamton Bearcats,2002,2015,14,419,154,265,.368,-10.53,-5.46,0,1,1,1,0,0
36,Birmingham-Southern Panthers,1920,2006,5,105,65,40,.619,-5.44,-8.71,0,1,0,0,0,0
37,Bloomsburg Huskies,1896,1911,15,143,88,55,.615,,,0,0,0,,,
38,Boise State Broncos,1972,2015,44,1281,706,575,.551,0.89,-0.41,0,5,5,6,0,0
39,Boston College Eagles,1946,2015,70,1952,1094,858,.560,8.34,6.50,8,8,2,18,0,0
40,Boston University Terriers,1916,2015,89,2001,1025,976,.512,-3.27,-4.56,0,8,6,7,0,0
Rk,School,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
41,Bowling Green State Falcons,1916,2015,100,2438,1319,1119,.541,-0.31,-0.14,2,9,0,4,0,0
42,Bradley Braves,1903,2015,111,2738,1611,1127,.588,3.42,2.49,12,8,2,8,2,0
43,Brigham Young College,1908,1908,1,11,10,1,.909,,,0,0,0,,,
44,Brigham Young Cougars,1903,2015,113,2785,1738,1047,.624,9.31,4.34,10,25,3,28,0,0
45,Brooklyn Bulldogs,1934,1992,25,567,233,334,.411,-19.22,-9.63,0,0,0,0,0,0
46,Brown Bears,1901,2015,109,2457,993,1464,.404,-10.26,-5.12,0,1,0,2,0,0
47,Bryant Bulldogs,2011,2015,5,154,64,90,.416,-8.63,-4.32,0,0,0,0,0,0
